Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,112720000,127140000,131945000,127170000,136430000,154950000,175435000,220304999,215915000,255345000,224545000,201350001,250969999,248935000,235455000,321360614.5,374002933,336945700,339224000,324813400,401389600,455457100,691873900,686970110,708713690,689775980,768622300,653170670,680351000,815800560,922550890,907111452.5,
Afghanistan,AFG,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,45547800,44619680,45434560,47114050,38528800,45589800,41373600,49488930,67614026.95,81289660.87,126230158.2,201456356.9,217260903.8,256505577.3,431038896.5,605029119.8,934779039.4,940035968.5,657880757.5,698660805.6,582311039.8,526217137.2,610761731.1,635742142.3,746832947.4,657015441.6,630659707.9,637925667.4,576118920.3,,,,,,,,,,,,,,,,,3042274496,4265888673,5162440198,6344642495,7152304412,7288702809,7528550402,6976966101,7281910391,8097280956,
Angola,AGO,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228335521.2,555691254.4,392514285.9,202442614.1,491400189.8,1198212374,731866197.2,375545950.8,634199422.6,1379588148,3196850749,8149079644,11196800895,17869411575,13664098011,19678660394,27039762623,31161778916,31500815660,27032345237,23790543293,23672191388,17455327771,
Albania,ALB,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166509702.6,223594867.3,265298058,323376838.7,342425753,417921459.8,523112386.3,646306095.4,770580796.4,866478465.6,1038294373,1387913183,1439592137,1812802475,2161936606,2363791839,2368942415,2540673567,2471402948,2599863604,2773278168,2665216203,3138517908,3108606804,3588583657,
Andorra,AND,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,,,,,,,,,,91723795.17,452878020.6,987879902.3,1979903726,894066095.3,942089886.9,1727429508,2354590964,3471503445,2588863920,2384157754,2538886189,3471498477,3689328863,5120925343,4768739333,4776310582,4890564527,5646813747,5977160986,6415331635,6963509619,7778376181,8350159119,8603051271,9305872474,10790300758,13631621329,14256128967,15355432201,15087812433,18529924694,21010295842,27617445187,77238765601,31694454057,26104201251,32785288698,37269321629,47035150518,68202651336,78424385724,93929133737,85390831785,95377648626,
Argentina,ARG,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,527233600,386407550,114741240,269807440,153293600,236095840,216174480,727208400,780833300,538310000,681788410,304314527.1,572449755.2,1597255506,1889579481,848224746.1,1983316224,3843942355,5933322542,11626505760,9296756057,5006226776,4503960609,2840273965,2590505132,4702644000,4427405700,3733969300,5157480787,3216875258,6222040363,7462543636,11447031157,15499431244,16003265705,15979453702,19719017345,22424600099,24855741233,26350163675,25152121062,14555552706,10492425075,14157285635,19659594528,28081718502,32022294209,46149458458,46385377923,48006987573,52207540132,46265809101,43223271091,30533921358,31410823483,25520564394,38414514879,55314409205,
Armenia,ARM,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1293750.052,13586867.79,36108082.7,111182285.2,168201670.5,239225950.9,293162999.8,303511867,314200445.1,329632728.6,430974407.3,501977090,547758906.7,669480407.7,1071917880,1659090483,1406800810,2003623366,1865824194,1932472154,1799374401,2251610256,1489443392,1775293493,2204113987,2314113951,
American Samoa,ASM,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
